userId;numCores;diskSpace;memory;swap;distroVersion;kernel;class;cpu;country;architecture;distribution
586715;4;500000;6000;2048;14.10;4.0.0;desktop;core i3 2350M;Brazil;unknown;Ubuntu
588367;1;\N;\N;\N;17.2;3.16.0;desktop;Intel Pentium 4 3.0GHz;Hungary;i686;Linux Mint
588367;2;\N;4096;\N;17.1;3.13.0;desktop;Intel Pentium Dual-Core T4200;Hungary;x86_64;Linux Mint
506835;\N;\N;\N;\N;jessy;3.16.0;desktop;AMD 64 bits;Mexico;amd64;Debian
390531;4;118300;8003;15265;\N;2.6.34;cluster;Intel(R) Xeon(TM) CPU 3.20GHz;United States;x86_64;Gentoo Linux
229635;8;2875904;8197;8388;7.8;3.2.0;desktop;Intel(R) Xeon(R) CPU E5410;Netherlands;x86_64;Debian
229635;4;3587955;7936;16777;8.0;3.16.0;desktop;AMD Athlon(tm) II X4 640 Processor;Netherlands;x86_64;Debian
543984;6;968354;16414;16777;15.10 (Wily Werewolf);4.2.0;desktop;AMD FX(tm)-6100 Six-Core Processor;United Kingdom;x86_64;Ubuntu
447125;4;0;8192;0;15.04;3.19.0;desktop;i5-4670k;Italy;x86_64;Ubuntu
492685;4;0;31914;0;N/A;3.18.16;desktop;Intel Core i7-4770 3.4 GHz;United States;x86_64;Gentoo Linux
527838;4;15393;884;0;7.8;3.18.7;desktop;ARMv7 Processor rev 5 (v7l);France;arm;Debian
244800;8;1255867;16464;8388;\N;4.1.12;desktop;Intel(R) Core(TM) i7-3770 CPU;United States;x86_64;Gentoo Linux
545524;8;754405;8098;6134;14.04.2 LTS, Trusty Tahr;3.13.0;desktop;i7 4770;Turkey;x86_64;Ubuntu
527838;1;15400;445;102;7.8;3.18.7;desktop;ARMv6-compatible processor rev 7 (v6l);France;arm;Debian
586919;4;\N;\N;\N;15.04;3.19;desktop;Phenom II X4 955;Poland;amd64;Ubuntu
586682;4;54622;744;1545;14.1;3.10.17;desktop;Intel Pentium;United States;i686;Slackware
586682;4;457593;8026;11444;14.1;3.10.17;desktop;Intel Core;United States;i686;Slackware
586682;2;1106961;4008;8000;14.1;3.10.17;desktop;Intel Core 2 Duo E7200;United States;i686;Slackware
587090;3;500000;4000;\N;\N;3.16.4;desktop;Phenom;France;amd64;Debian
587097;2;160;2;512;13;3.2.18;desktop;intel T5870;China;x86_64;Linux Mint
587284;8;729508;8120;8191;14.04.2 LTS, Trusty Tahr;3.13.0;desktop;AMD FX(tm)-8350 Eight-Core Processor;Canada;x86_64;Kubuntu
587284;4;205970;7125;2097;17.1 KDE;3.13.0;desktop;AMD A8-3850 APU with Radeon(tm) HD Graphics;Canada;x86_64;Linux Mint
587364;3;235974;4047;4192;14.04.2 LTS, Trusty Tahr;3.13.0;desktop;AMD Athlon(tm) II X3 455 Processor;Chile;x86_64;Ubuntu
31391;2;580000;8191;\N;Sid;4.0.2;desktop;E8400;Canada;amd64;Debian
171332;4;1208902;8099;4194;14.2;4.4.4;desktop;AMD Athlon(tm) 64 X2 Dual Core Processor 4400;Canada;x86_64;Slackware
168705;4;736547;8164;0;\N;4.0.5;desktop;Intel Core i3 2120;United Kingdom;x86_64;Gentoo Linux
171332;2;74569;7325;2097;14.2;4.4.4;desktop;AMD A4-6300 APU with Radeon(tm) HD Graphics;Canada;x86_64;Slackware
166300;3;948917;4048;8387;14.04.2 LTS, Trusty Tahr;3.13.0;desktop;AMD Phenom(tm) 8650 Triple-Core Processor;Denmark;x86_64;Ubuntu
549691;2;349817;4046;0;22 (Twenty Two);4.0.8;desktop;x86 64;United States;x86_64;Fedora
250250;1;4642;123;470;14.1;4.1.0;desktop;Celeron (Mendocino);Israel;i686;Slackware
250250;1;19100;2072;1634;14.1;3.18.25;desktop;AMD Sempron(tm);Israel;i686;Slackware
