userId,numCores,kernel,class,cpu,country,architecture,distribution
586715,4,4.0.0,desktop,Intel Core i3-2350M  2.30GHz,Brazil,unknown,Ubuntu
588367,1,3.16.0,desktop,Intel Pentium 4 3.00GHz,Hungary,i686,Linux Mint
588367,2,3.13.0,desktop,Intel Pentium Processor T4200 2.00 GHz,Hungary,x86_64,Linux Mint
506835,unknown,3.16.0,desktop,unknown,Mexico,amd64,Debian
390531,4,2.6.34,cluster,unknown,United States,x86_64,Gentoo Linux
229635,8,3.2.0,desktop,Intel Xeon E5410  2.33GHz,Netherlands,x86_64,Debian
229635,4,3.16.0,desktop,AMD Athlon II X4 6400e,Netherlands,x86_64,Debian
543984,6,4.2.0,desktop,AMD FX-6100 Six-Core,United Kingdom,x86_64,Ubuntu
447125,4,3.19.0,desktop,AMD A8-7670K,Italy,x86_64,Ubuntu
492685,4,3.18.16,desktop,Intel Core i7-4770  3.40GHz,United States,x86_64,Gentoo Linux
527838,4,3.18.7,desktop,ARMv7-compatible processor rev 5,France,arm,Debian
244800,8,4.1.12,desktop,Intel Core i7-3770  3.40GHz,United States,x86_64,Gentoo Linux
545524,8,3.13.0,desktop,Intel Core i7-4770 Processor 3.90 GHz,Turkey,x86_64,Ubuntu
527838,1,3.18.7,desktop,ARMv6-compatible processor rev 7 ,France,arm,Debian
586919,4,3.19,desktop,Phenom II X4 955,Poland,amd64,Ubuntu
586682,4,3.10.17,desktop,Intel Pentium M 900MHz,United States,i686,Slackware
586682,4,3.10.17,desktop,unknown,United States,i686,Slackware
586682,2,3.10.17,desktop,Intel Core2 Duo E7200  2.53GHz,United States,i686,Slackware
587090,3,3.16.4,desktop,unknown,France,amd64,Debian
587097,2,3.2.18,desktop,Intel Core2 Duo T5870  2.00GHz,China,x86_64,Linux Mint
587284,8,3.13.0,desktop,AMD FX-8350 Eight-Core,Canada,x86_64,Kubuntu
587284,4,3.13.0,desktop,AMD A8-3850 APU,Canada,x86_64,Linux Mint
587364,3,3.13.0,desktop,AMD Athlon II X3 455,Chile,x86_64,Ubuntu
31391,2,4.0.2,desktop,Intel Core2 Duo E8400 3.00GHz,Canada,amd64,Debian
171332,4,4.4.4,desktop,AMD Athlon 64 X2 Dual Core 4400+,Canada,x86_64,Slackware
168705,4,4.0.5,desktop,Intel Core i3 2120,United Kingdom,x86_64,Gentoo Linux
171332,2,4.4.4,desktop,AMD FX-6300 Six-Core,Canada,x86_64,Slackware
166300,3,3.13.0,desktop,AMD Phenom 8650 Triple-Core,Denmark,x86_64,Ubuntu
549691,2,4.0.8,desktop,unknown,United States,x86_64,Fedora
250250,1,4.1.0,desktop,"Intel Pentium II Celeron processor (Mendocino, Socket 370) ",Israel,i686,Slackware
250250,1,3.18.25,desktop,unknown,Israel,i686,Slackware
250250,0,3.10.80,desktop,ARM Cortex A8 1GHz,Israel,arm,Ubuntu
527321,4,3.13.0,desktop,AMD Athlon II X4 6400e,Poland,x86_64,Linux Mint
32822,4,3.13.0,desktop,AMD Phenom II X4 840,United States,i686,Linux Mint
588704,4,3.13.0,desktop,AMD Athlon II X4 620e,Spain,i686,Xubuntu
534879,4,3.16.0,desktop,AMD FX-4100 Zambezi Quad-Core 3.6GHz ,Germany,x86_64,Debian
578555,4,4.1.4,desktop,Intel Core i7-2630QM  2.00GHz,United Kingdom,x86_64,Arch
460656,4,3.19.0,desktop,AMD Phenom II X4 955,Finland,x86_64,Ubuntu
450286,4,3.13.0,desktop,Intel Core i5-4200U  1.60GHz,Sweden,x86_64,Ubuntu
498109,1,3.16.0,desktop,unknown,United States,i386,Debian
470660,4,3.19.0,desktop,Intel Core i5-3470  3.20GHz,Ireland,x86_64,Ubuntu
557424,2,4.1.0,desktop,Athlon 64 x2 5000+,Poland,amd64,Debian
589179,unknown,3.13,desktop,Intel Atom D525  1.80GHz,Sweden,amd64,Ubuntu
